author,desc,genre,img,release,score,time,title
Irvin Kershner,None,"Aventure,Science Fiction",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/00/02/44/28/empire.jpg,9 avril 1997,"5,0,4,5",2h 04min,Star Wars : Episode V - L'Empire contre-attaque
David Fincher,None,"Policier,Thriller",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/35/91/33/19255605.jpg,None,"3,6,4,5",2h 10min,Seven
Charles Chaplin,None,Comédie,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",10 juillet 2019,"5,0,4,5",2h 05min,Le Dictateur
Lee Unkrich,None,"Animation,Famille,Fantastique","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,1,4,5",1h 45min,Coco
Makoto Shinkai,None,"Animation,Fantastique","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,0,4,5",1h 50min,Your Name
Bong Joon Ho,None,Thriller,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,8,4,5",2h 12min,Parasite
Quentin Tarantino,None,"Policier,Thriller",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/02/52/18846059.jpg,None,"4,4,4,5",2h 29min,Pulp Fiction
Jonathan Demme,None,"Drame,Thriller",https://fr.web.img5.acsta.net/c_310_420/pictures/20/09/07/15/49/4218638.jpg,7 octobre 2020,"4,8,4,4",1h 58min,Le Silence des agneaux
Martin Scorsese,None,"Drame,Thriller","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"5,0,4,5",2h 25min,Les Affranchis
None,None,"Drame,Thriller","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",15 mai 2019,"2,7,4,5",2h 19min,Fight Club
Francis Ford Coppola,None,"Policier,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",18 septembre 2013,"4,7,4,5",3h 20min,"Le Parrain, 2e partie"
Sergio Leone,None,Western,https://fr.web.img3.acsta.net/c_310_420/pictures/16/07/19/17/05/434841.jpg,10 octobre 2018,"4,0,4,5",2h 55min,Il était une fois dans l'Ouest
None,None,Western,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",5 novembre 2014,"4,1,4,5",3h 00min,"Le Bon, la brute et le truand"
None,None,"Policier,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",6 mai 2015,"4,9,4,5",3h 40min,Il était une fois en Amérique
None,None,Western,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,6,4,5",2h 44min,Django Unchained
George Lucas,None,"Aventure,Science Fiction",https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/35/41/59/18422600.jpg,12 mars 1997,"4,8,4,4",2h 01min,Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles)
Todd Phillips,None,Drame,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,1,4,4",2h 02min,Joker
Kenji Mizoguchi,None,Drame,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",31 juillet 2019,"5,0,4,4",2h 04min,L'Intendant Sansho
Richard Marquand,None,"Aventure,Science Fiction","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",23 avril 1997,"3,0,4,4",2h 13min,Star Wars : Episode VI - Le Retour du Jedi
Peter Farrelly,None,"Biopic,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,0,4,5",2h 10min,Green Book : Sur les routes du sud
Christopher Nolan,None,"Science Fiction,Thriller",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/72/34/14/19476654.jpg,12 août 2020,"4,1,4,5",2h 28min,Inception
Peter Jackson,None,"Aventure,Fantastique","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"3,7,4,5",2h 58min,Le Seigneur des anneaux : la communauté de l'anneau
Ridley Scott,None,"Action,Aventure","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,3,4,5",2h 35min,Gladiator
None,None,"Drame,Thriller","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,7,4,5",1h 56min,Gran Torino
None,None,"Aventure,Fantastique","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,0,4,5",2h 59min,Le Seigneur des anneaux : les deux tours
Garth Davis,None,"Biopic,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"3,1,4,4",1h 58min,Lion
Thomas Kail,None,"Biopic,Historique,Musical","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,4,--",2h 40min,Hamilton
