cours,hight,indice,low,open_,time,var
9.076 ,9.142 ,CREDIT AGRICOLE SA,9.044 ,9.111 ,2022-10-26 15:49:57.416185,-0.20%
132.460 ,134.220 ,AIR LIQUIDE,131.280 ,132.800 ,2022-10-26 15:49:57.423185,-0.03%
105.640 ,105.880 ,AIRBUS,104.300 ,104.360 ,2022-10-26 15:49:57.424185,+1.52%
20.060 ,20.070 ,ALSTOM,19.230 ,19.240 ,2022-10-26 15:49:57.425185,+4.21%
48.165 ,48.565 ,DANONE,47.685 ,48.455 ,2022-10-26 15:49:57.426186,-0.86%
47.230 ,47.650 ,BNP PARIBAS,47.030 ,47.445 ,2022-10-26 15:49:57.427185,-0.22%
15.345 ,15.595 ,CARREFOUR,15.175 ,15.535 ,2022-10-26 15:49:57.428186,-1.25%
172.750 ,175.400 ,CAPGEMINI,171.850 ,171.900 ,2022-10-26 15:49:57.436186,-0.14%
24.875 ,25.035 ,AXA,24.755 ,24.910 ,2022-10-26 15:49:57.437186,-0.38%
91.810 ,92.270 ,VINCI,91.080 ,91.620 ,2022-10-26 15:49:57.438186,+1.80%
34.340 ,35.795 ,DASSAULT SYSTEMES,34.235 ,35.340 ,2022-10-26 15:49:57.439186,-6.37%
164.400 ,166.950 ,ESSILORLUXOTTICA,164.000 ,164.850 ,2022-10-26 15:49:57.441187,-0.36%
28.510 ,28.540 ,BOUYGUES,28.020 ,28.190 ,2022-10-26 15:49:57.442186,+1.35%
13.032 ,13.130 ,ENGIE,12.974 ,13.030 ,2022-10-26 15:49:57.443186,-0.08%
65.080 ,65.260 ,EUROFINS SCIENTIFIC,64.020 ,64.820 ,2022-10-26 15:49:57.444186,+0.15%
23.190 ,23.470 ,SOCIETE GENERALE,23.180 ,23.375 ,2022-10-26 15:49:57.451186,-0.34%
125.600 ,126.000 ,THALES,122.150 ,122.250 ,2022-10-26 15:49:57.452186,+3.29%
472.750 ,476.250 ,KERING,470.250 ,472.750 ,2022-10-26 15:49:57.453186,+0.07%
78.000 ,78.360 ,LEGRAND,76.100 ,76.260 ,2022-10-26 15:49:57.454190,+2.04%
652.600 ,663.600 ,LVMH,651.100 ,659.400 ,2022-10-26 15:49:57.455187,-0.82%
24.785 ,24.845 ,MICHELIN,23.700 ,23.700 ,2022-10-26 15:49:57.456188,-2.92%
318.350 ,322.900 ,L'OREAL,318.100 ,321.400 ,2022-10-26 15:49:57.457187,-1.03%
9.490 ,9.514 ,ORANGE,9.378 ,9.420 ,2022-10-26 15:49:57.458187,+0.90%
57.180 ,58.560 ,PUBLICIS GROUPE,57.060 ,58.560 ,2022-10-26 15:49:57.459187,-2.36%
174.500 ,177.050 ,PERNOD RICARD,173.050 ,176.900 ,2022-10-26 15:49:57.460187,-1.72%
1 348.500 ,1 374.000 ,HERMES INTL,1 342.000 ,1 355.500 ,2022-10-26 15:49:57.538422,-0.44%
31.850 ,32.200 ,RENAULT,31.500 ,31.700 ,2022-10-26 15:49:57.540427,+0.03%
112.380 ,112.740 ,SAFRAN,110.100 ,110.200 ,2022-10-26 15:49:57.542422,+1.85%
83.170 ,83.350 ,SANOFI,82.330 ,82.700 ,2022-10-26 15:49:57.543422,+1.07%
41.610 ,42.105 ,SAINT-GOBAIN,41.405 ,41.425 ,2022-10-26 15:49:57.544422,+0.29%
13.542 ,13.608 ,STELLANTIS,13.400 ,13.496 ,2022-10-26 15:49:57.545422,+0.07%
34.170 ,34.670 ,STMICROELECTRONICS,33.920 ,34.195 ,2022-10-26 15:49:57.546424,-2.87%
132.240 ,133.660 ,SCHNEIDER ELECTRIC,131.300 ,131.380 ,2022-10-26 15:49:57.547423,+0.72%
273.100 ,275.600 ,TELEPERFORMANCE,271.100 ,274.000 ,2022-10-26 15:49:57.548423,-0.62%
52.880 ,53.370 ,TOTALENERGIES,52.410 ,53.000 ,2022-10-26 15:49:57.549423,-0.69%
22.470 ,23.070 ,VEOLIA,22.450 ,22.730 ,2022-10-26 15:49:57.550423,-1.14%
8.212 ,8.296 ,VIVENDI,8.164 ,8.296 ,2022-10-26 15:49:57.551423,-1.30%
44.360 ,44.740 ,WORLDLINE,43.300 ,43.670 ,2022-10-26 15:49:57.552422,+1.35%
